Train Number,Train Type
1011,AC Russian
1012,AC Russian
1013,Russian
1014,Russian
1015,Russian
1022,Improved
1023,Improved
1024,Improved
1025,Improved
1028,Improved
1029,Improved
1030,Improved
1031,Improved
1082,Sleep
1083,Sleep
1086,Sleep
1087,Sleep
1088,Mix
1089,Sleep
1104,Improved
1105,Improved
1108,Russian
1109,AC Russian
1110,Russian
1111,Russian
1112,Russian
1113,AC Russian
1114,Improved
1115,Improved
1130,AC Russian
1131,AC Russian
1190,AC Russian
1191,AC Russian
1203,Russian
1211,Russian
1212,Russian
1418,Improved
1902,AC
1903,AC Russian
1904,VIP
1914,Mix
1915,Mix
2006,VIP
2007,VIP
2008,VIP
2009,AC
2010,VIP
2011,VIP
2012,AC Russian
2013,AC Russian
2014,AC
2015,AC
2022,Talgo
2023,Talgo
2024,Talgo
2025,Talgo
2026,Talgo
2027,Talgo
2030,Talgo
2031,Talgo
3006,AC Russian
3007,AC Russian
3008,AC Russian
3009,AC Russian
3015,AC Russian
3016,AC Russian
3017,AC Russian
3018,AC Russian
3023,AC Russian
3024,AC Russian
3025,AC Russian
3502,AC Russian
3503,AC Russian
4222,Improved
4223,Improved
4224,Improved
4602,Improved
4603,Improved
4604,Improved
4605,Improved
1208-1209,Improved
1205-1206,Russian
1935-1936,AC Russian
894-899,Improved
572-573,AC Russian
568-569,AC Russian
588-589,Russian
3012-3013,AC Russian
586-587,AC Russian
518-519,AC Russian
801-802,Improved
584-585,AC Russian
566-567,AC Russian
516-517,AC Russian
570-571,AC Russian
3010-3011,AC Russian
590-591,Russian
883-884,Improved
889-892,Improved
1150-1151,AC Russian
1152-1153,AC Russian
811-812,Improved
814-815,Improved
54-56,Improved
702-710,Improved
168-712,Improved
169-707,Improved
701-713,Improved
