name_ar,name_en,location_lat,location_long
المتانية,Matanyah,29.5708929,31.2516922
الفيوم,Faiyum,29.3089246,30.8477041
القطورى,Qotouri,29.4576478,31.2144961
الشيخ هارون,Sheikh Haroun,30.10137,31.33297
كيما,Kima,24.0682027,32.918248
الصداقة,Sadaka,24.0514023,32.9199777
سدس,Suds,31.2189328,29.9424796
طحا البيشة,Taha Bishah,28.9643649,30.9993565
طنسا,Tansa,29.0056817,31.0186684
الزيتون ق,Zaytoun Q,30.1058896,31.3104833
بني حدير,Beni Hidayr,29.0760345,31.0947814
اطواب,Atwab,29.3877117,31.1962519
ميت القايد,Mit Qayed,29.5313104,31.2521043
البليدة,Blida,36.4786264,2.8161941
السد العالي,The High Dam,23.9752585,32.8975661
المنصورة,Mansoura,31.0453964,31.3882888
سندوب,Sandub,31.0160688,31.3930273
شاوة,Shawah,31.0453964,31.3882888
البقلية,Baqliyyah,30.9590291,31.4220344
الزريقي,Zurayqi,30.9372187,31.4329575
شبرا قبالة,Shobra Qubala,30.9162049,31.4435647
السنبلاوين,Senbellawein,30.8841029,31.4616014
طرانيس العرب,Taranis Arab,30.8698138,31.5032776
برقين,Barqin,30.855625,31.529481
هيكل باشا,Hikal Basha,,
ابو الشقوق,Abo Shuquq,30.8125992,31.610316
بدوي,Badawy,30.8125992,31.610316
كفر صقر,Kafr Saqr,30.7919757,31.6280273
البوها,Bouha,30.4558513,31.1806955
نزلة الخيال,Nazlet Khayal,30.7645918,31.6606159
ابو كبير,Abo Kibir,30.7270372,31.6684678
ابو ياسين,Abo Yassin,24.0998701,32.902257
شرشيمة,Shirshimah,30.6929658,31.6200431
هيها,Hihya,30.6708201,31.5902907
العداوية,Adawyh,25.5576597,32.4924657
كفر المسلمية,Kafr Msalamya,,
هرية رزنة,Harayah Raznah,30.6061445,31.5330771
العصلوجي,Asluji,30.5528923,31.5170845
بردين,Bardein,30.5043999,31.5393167
اولاد سيف,Awlad Seif,30.4692941,31.5669371
بلبيس,Belbes,30.4244661,31.55986589999999
تل روزن,Tall Rozan,30.4063088,31.5100264
بير عمارة,Bir Imarah,30.3952514,31.4869162
انشاص,Inshas,30.3795719,31.4545189
سلمنت,Salamant,30.3637145,31.4207458
مشتول,Mashtul,30.3483628,31.38884639999999
منشأة الكرام,Monshaat Kiram,30.3315952,31.3540265
