name_ar,name_en,location_lat,location_long
الشيخ عامر,Sheikh Amer,31.2189328,29.9424796
الكراتية,Karateyah,30.0632299,31.2469369
البراهمة,Barahmah,30.4558513,31.1806955
ابنود,Abnoud,26.0539657,32.7966903
الاشراف,Ashraf,31.2081784,30.56789809999999
الاشراف ق,Ashraf Qibliyyah,26.0917926,32.7789458
الجزيرية,Jiziriyyah,30.0092238,31.2079466
المخادمة,Makhadmah,26.1838858,32.6368762
القناوية,Qinawiyyah,26.1622143,32.7272833
اولاد عمرو,Awlad Amr,26.1622143,32.7272833
السمطا,Samta Q,26.1253607,32.4968317
المراشدة,Marashdah,,
فاو,Faw,24.0998701,32.902257
الياسينية,Baseineyah,,
الرحمانية ق,Rahmaneyah Q,31.1263656,30.6276771
السلمية ق,Salmiyyah Q,30.7375619,30.9754955
الكرنك,Karnak,25.7188346,32.6572703
الزينية,Zayniyyah,29.5708929,31.2516922
الرضوانية,Radwania,26.1622143,32.7272833
الوحدة,Wehdaa,25.6124223,32.5735157
الطود,Toud,25.6124223,32.5735157
نجع الجسور,Nagaa Gossor,,
العديسات,Idisat,25.5576597,32.4924657
الشغب,Shaghab,25.5169909,32.5004054
المعلة,Maelah,,
نجع ابو سعيد,Nagaa Abo Said,25.4436661,32.5453391
المطاعنة,Mataenah,,
الدير,Deir,25.3323148,32.5765366
الكلابية,Kelabeyah,,
جزيرة راجح,Gazirat Rageh,25.3099697,32.5706004
الخوي ج,Khoy N,,
الفوسفات ج,Phosphate N,,
الكلح,Kilh,30.9689908,31.1687061
الدومارية,Dawamaria,24.4074176,32.9249059
العطواني,Atwani,24.0998701,32.902257
البغدادي,Boghdady,30.5582379,32.0434351
الفوزة,Fuzah,24.9357639,32.87943910000001
الطوناب,Tunab,24.8671684,32.8918718
السراج,Siraj,30.0632299,31.2469369
جعفر الصادق,Gaafar Sadik,31.2189328,29.9424796
السيد سعيد,sayid Said,31.2602936,32.3009429
جبل السلسلة,Gebel Silsila,24.650135,32.9300537
الرغامة,Raghama,24.5297562,32.9491517
الشطب البلد,Shatb B,25.1991477,32.7008426
السلام النوبية,Salam Aneibah,24.0998701,32.902257
الرتاج,Retaj,30.1690622,31.7715434
الجعافرة,Jaafrah,30.0092238,31.2079466
الاعقاب,Aaqab,24.2361952,32.8760139
الاعقاب ق,Aaqab Q,24.6237803,32.9496364
الخطارة,Khttarah,24.2056762,32.8756438
الشديدة,Shadedh,26.123184,32.4618088
ابو الريش ق,Abo Resh Q,24.0998701,32.902257
بشتيل المحطة,Bashtil,30.0653204,31.1887237
